compute,draw,frame
4.82,0.05,4.87
3.19,0.05,3.24
3.18,0.05,3.23
3.19,0.05,3.24
3.19,0.05,3.26
3.39,0.05,3.44
3.36,0.03,3.41
3.39,0.05,3.44
3.39,0.03,3.42
3.60,0.05,3.65
3.62,0.05,3.67
3.62,0.05,3.67
3.60,0.05,3.65
3.88,0.05,3.95
3.87,0.07,3.93
3.88,0.05,3.95
3.87,0.05,3.92
3.88,0.05,3.93
3.88,0.05,3.95
4.85,0.07,4.92
3.87,0.07,3.93
4.82,0.07,4.88
3.87,0.05,3.93
3.87,0.07,3.93
3.88,0.07,3.95
3.87,0.07,3.93
3.88,0.05,3.93
3.87,0.05,3.92
3.87,0.05,3.92
3.87,0.07,3.95
3.87,0.07,3.93
3.90,0.05,3.95
3.90,0.05,3.95
4.67,0.07,4.73
3.83,0.05,3.88
3.60,0.05,3.65
3.62,0.05,3.69
3.60,0.05,3.65
3.62,0.05,3.67
3.60,0.05,3.67
3.62,0.07,3.69
3.60,0.05,3.67
3.62,0.05,3.67
3.60,0.07,3.67
3.62,0.05,3.67
3.62,0.07,3.69
3.64,0.07,3.70
3.62,0.05,3.67
3.60,0.07,3.67
3.60,0.07,3.67
3.60,0.07,3.67
3.62,0.05,3.69
3.62,0.05,3.67
3.62,0.03,3.67
3.62,0.05,3.67
3.64,0.05,3.69
3.62,0.05,3.67
3.62,0.07,3.69
3.62,0.05,3.67
3.62,0.05,3.67
3.57,0.05,3.62
3.41,0.05,3.46
3.39,0.05,3.44
3.39,0.05,3.44
3.44,0.05,3.49
3.64,0.05,3.69
3.64,0.03,3.69
3.62,0.05,3.67
3.64,0.05,3.69
3.60,0.07,3.67
3.62,0.05,3.67
3.60,0.05,3.65
3.64,0.05,3.69
3.62,0.07,3.69
3.64,0.07,3.70
3.62,0.07,3.69
3.64,0.05,3.70
3.62,0.05,3.67
3.64,0.05,3.70
3.62,0.07,3.69
4.87,0.07,4.93
3.38,0.03,3.41
2.10,0.02,2.13
2.08,0.03,2.13
2.10,0.03,2.13
2.08,0.02,2.10
2.85,0.05,2.90
2.34,0.03,2.38
2.36,0.02,2.39
2.36,0.05,2.42
2.59,0.05,2.64
2.57,0.05,2.62
2.59,0.05,2.64
2.56,0.05,2.61
2.59,0.05,2.64
2.59,0.03,2.64
2.59,0.03,2.62
2.61,0.03,2.64
2.70,0.03,2.74
2.70,0.05,2.75
2.72,0.03,2.75
2.70,0.03,2.74
3.67,0.03,3.70
2.72,0.07,2.79
2.70,0.05,2.77
2.70,0.05,2.75
2.72,0.05,2.77
2.72,0.05,2.77
2.72,0.05,2.77
2.72,0.03,2.77
2.72,0.03,2.75
2.70,0.05,2.75
2.74,0.05,2.79
2.70,0.07,2.77
3.74,0.05,3.80
2.74,0.03,2.77
2.72,0.03,2.75
2.74,0.05,2.79
3.54,0.03,3.59
2.74,0.03,2.77
3.41,0.05,3.46
2.70,0.05,2.75
2.74,0.03,2.80
2.74,0.05,2.79
3.77,0.03,3.80
2.57,0.03,2.61
2.59,0.05,2.64
2.61,0.05,2.65
2.61,0.03,2.64
2.74,0.03,2.79
2.72,0.03,2.75
2.72,0.03,2.75
2.72,0.03,2.75
2.87,0.05,2.92
2.88,0.03,2.92
2.87,0.05,2.92
2.87,0.03,2.90
3.01,0.05,3.08
3.01,0.07,3.08
4.29,0.07,4.36
3.01,0.05,3.06
3.01,0.05,3.06
3.05,0.03,3.10
3.00,0.98,3.98
3.05,0.03,3.08
3.03,0.05,3.08
3.01,0.05,3.06
3.03,0.05,3.08
3.21,0.07,3.28
3.21,0.03,3.26
3.18,0.03,3.23
3.18,0.07,3.24
3.19,0.03,3.23
3.21,0.03,3.24
3.21,0.05,3.26
3.19,0.05,3.24
3.41,0.05,3.46
3.41,0.05,3.46
3.39,0.07,3.46
3.41,0.05,3.46
3.59,0.03,3.64
3.41,0.05,3.46
3.41,0.05,3.46
3.42,0.05,3.47
4.10,0.07,4.16
3.62,0.05,3.67
3.62,0.05,3.67
3.64,0.05,3.69
3.64,0.05,3.69
3.62,0.05,3.67
3.62,0.05,3.67
4.37,0.07,4.46
3.64,0.07,3.70
4.51,0.07,4.57
3.88,0.08,3.96
3.90,0.05,3.95
3.92,0.05,3.96
3.88,0.05,3.95
3.85,0.07,3.93
3.88,0.05,3.93
3.85,0.07,3.92
3.90,0.05,3.95
3.87,0.05,3.93
3.87,0.07,3.93
3.90,0.92,4.82
3.90,0.05,3.95
3.90,0.05,3.95
3.90,0.05,3.95
3.90,0.07,3.96
3.90,0.07,3.96
3.87,0.07,3.93
3.92,0.05,3.96
3.88,0.07,3.95
4.80,0.07,4.87
3.90,0.05,3.95
5.34,0.07,5.41
3.90,0.05,3.95
3.88,0.07,3.95
5.00,0.07,5.06
4.64,0.03,4.69
3.62,0.07,3.69
3.64,0.05,3.69
3.62,0.07,3.69
4.34,0.07,4.41
4.36,0.07,4.42
3.64,0.05,3.69
3.64,0.05,3.69
3.59,0.07,3.65
3.39,0.07,3.46
3.44,0.03,3.49
3.41,0.05,3.46
3.42,0.05,3.47
3.39,0.05,3.44
3.41,0.05,3.46
3.39,0.07,3.46
3.42,0.05,3.47
3.39,0.07,3.46
3.39,0.07,3.46
3.41,0.05,3.46
3.39,0.05,3.44
3.42,0.03,3.46
3.39,0.03,3.44
3.39,0.07,3.46
3.41,0.05,3.46
3.42,0.03,3.47
3.39,0.07,3.46
3.41,0.05,3.46
3.39,0.05,3.44
3.38,0.05,3.42
3.42,0.03,3.46
3.41,0.03,3.44
3.41,0.05,3.46
3.39,0.05,3.44
3.39,0.03,3.44
3.38,0.07,3.44
3.38,0.05,3.44
3.38,0.07,3.44
3.41,0.05,3.46
3.41,0.03,3.44
3.42,0.05,3.47
3.41,0.05,3.46
3.39,0.07,3.46
3.41,0.05,3.46
3.41,0.05,3.46
3.64,0.05,3.69
3.62,0.07,3.69
3.62,0.05,3.67
3.64,0.05,3.69
3.64,0.05,3.70
3.62,0.05,3.67
3.62,0.07,3.69
3.60,0.03,3.65
3.88,0.07,3.95
3.88,0.05,3.93
3.87,0.07,3.93
3.87,0.05,3.92
3.87,0.07,3.93
3.88,0.05,3.93
3.87,0.05,3.92
3.93,0.07,4.00
4.16,0.07,4.23
4.16,0.05,4.23
4.16,0.07,4.23
4.19,0.07,4.26
4.18,0.05,4.23
4.19,0.07,4.26
4.19,0.05,4.26
4.19,0.05,4.24
4.19,0.07,4.26
4.16,0.07,4.23
4.19,0.07,4.26
4.21,0.05,4.26
4.16,0.05,4.21
4.16,0.07,4.23
4.18,0.07,4.26
4.18,0.08,4.26
4.18,0.05,4.23
4.87,0.07,4.93
4.18,0.07,4.24
4.16,0.07,4.23
4.16,0.07,4.23
4.18,0.07,4.24
4.88,0.07,4.95
5.16,0.07,5.23
4.18,0.07,4.24
3.87,0.05,3.92
3.42,0.03,3.46
1.95,0.05,2.00
1.93,0.05,1.98
1.95,0.02,1.97
1.93,0.03,1.97
1.95,0.03,1.98
1.95,0.02,1.97
2.26,0.03,2.29
2.26,0.03,2.29
2.26,0.03,2.29
2.28,0.03,2.31
2.31,0.05,2.36
2.26,0.03,2.29
2.26,0.05,2.31
2.26,0.05,2.31
2.69,0.03,2.72
2.44,0.05,2.49
2.47,0.03,2.51
2.47,0.02,2.49
2.46,0.03,2.49
2.46,0.05,2.51
2.46,0.05,2.51
2.46,0.05,2.51
2.46,0.05,2.51
2.47,0.03,2.51
2.49,0.02,2.51
2.46,0.03,2.49
2.57,0.03,2.61
2.59,0.03,2.62
2.59,0.05,2.64
2.57,0.05,2.62
2.85,0.05,2.90
2.82,0.07,2.88
2.83,0.05,2.90
2.85,0.03,2.88
2.83,0.05,2.88
2.87,0.07,2.93
2.85,0.05,2.90
2.87,0.03,2.90
2.85,0.05,2.92
2.87,0.03,2.90
2.83,0.03,2.87
2.92,0.03,2.95
2.98,0.03,3.01
3.00,0.03,3.03
3.03,0.03,3.06
3.01,0.05,3.06
