compute,draw,frame
1.33,0.06,1.39
1.34,0.07,1.41
1.34,0.07,1.40
1.33,0.07,1.39
1.48,0.07,1.56
1.47,0.07,1.55
1.50,0.07,1.58
1.49,0.07,1.56
1.65,0.08,1.74
1.49,0.07,1.56
1.47,0.07,1.55
1.49,0.07,1.56
1.47,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.54
1.49,0.07,1.56
1.49,0.07,1.56
1.49,0.07,1.56
1.47,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.54
1.49,0.07,1.56
1.47,0.07,1.55
1.48,0.07,1.56
1.50,0.07,1.56
1.47,0.07,1.55
1.47,0.07,1.56
1.49,0.07,1.56
1.47,0.07,1.55
1.47,0.07,1.55
1.65,0.07,1.73
1.47,0.07,1.54
1.47,0.06,1.55
1.47,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.56
1.47,0.07,1.54
1.47,0.07,1.55
1.48,0.07,1.56
1.47,0.07,1.54
1.47,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.54
1.47,0.07,1.55
1.48,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.55
1.48,0.07,1.56
1.46,0.07,1.54
1.32,0.06,1.38
1.34,0.06,1.39
1.32,0.07,1.38
1.32,0.07,1.38
1.47,0.07,1.54
1.47,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.54
1.48,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.56
1.47,0.07,1.54
1.47,0.07,1.55
1.66,0.07,1.74
1.47,0.07,1.56
1.47,0.07,1.54
1.47,0.07,1.54
1.48,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.54
1.47,0.07,1.54
1.47,0.06,1.54
1.48,0.07,1.56
1.47,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.54
1.47,0.07,1.56
1.47,0.07,1.54
1.47,0.07,1.56
1.47,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.55
1.47,0.07,1.56
1.47,0.07,1.55
1.48,0.07,1.56
1.49,0.07,1.56
1.48,0.07,1.56
1.49,0.07,1.56
1.48,0.07,1.56
1.48,0.07,1.56
1.49,0.07,1.56
1.47,0.07,1.54
1.48,0.07,1.56
1.34,0.06,1.40
1.34,0.06,1.40
1.34,0.07,1.40
1.33,0.07,1.39
1.49,0.07,1.56
1.49,0.07,1.56
1.47,0.07,1.55
1.47,0.07,1.55
1.33,0.07,1.40
1.34,0.06,1.40
1.33,0.07,1.39
1.34,0.07,1.41
1.47,0.07,1.54
