compute,draw,frame
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.36,0.05,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.34,0.08,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.36,0.08,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.36,0.07,0.43
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.36,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.36,0.08,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.39,0.07,0.46
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.46
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.46
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.43
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.36,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.08,0.44
0.36,0.08,0.44
0.38,0.08,0.46
0.36,0.07,0.43
0.36,0.07,0.43
0.36,0.07,0.43
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.36,0.05,0.44
0.36,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.36,0.08,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.46
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.33,0.07,0.39
0.33,0.07,0.39
0.33,0.05,0.41
0.33,0.07,0.39
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.44
0.38,0.07,0.46
0.38,0.08,0.46
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.08,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.46
0.36,0.07,0.43
0.36,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.41,0.08,0.51
0.38,0.08,0.46
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.43
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.46
0.36,0.08,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.39,0.07,0.46
0.33,0.07,0.39
0.34,0.07,0.41
0.34,0.05,0.39
0.34,0.05,0.39
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.05,0.44
0.38,0.07,0.46
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.36,0.07,0.43
0.36,0.07,0.43
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.46
0.36,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.08,0.46
0.36,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.39,0.05,0.46
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.38,0.05,0.46
0.36,0.08,0.46
0.36,0.07,0.43
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.08,0.46
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.08,0.46
0.39,0.07,0.46
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.08,0.46
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.39,0.07,0.46
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.39,0.07,0.46
0.36,0.07,0.44
0.36,0.05,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.08,0.44
0.34,0.07,0.41
0.34,0.07,0.41
0.34,0.07,0.43
0.34,0.07,0.41
0.38,0.07,0.46
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.39,0.07,0.46
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.36,0.07,0.43
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.39,0.05,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.08,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.08,0.46
0.39,0.07,0.46
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.39,0.05,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.41,0.08,0.49
0.36,0.07,0.43
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.46
0.39,0.07,0.46
0.43,0.07,0.49
0.38,0.07,0.44
0.38,0.08,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.05,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.46
0.38,0.05,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.46
0.36,0.07,0.44
0.39,0.07,0.46
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.36,0.07,0.44
0.36,0.07,0.43
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.07,0.44
0.38,0.08,0.46
0.36,0.08,0.44
0.38,0.07,0.44
0.38,0.07,0.46
0.38,0.07,0.44
