compute,draw,frame
0.20,0.07,0.26
0.22,0.07,0.30
0.21,0.07,0.29
0.20,0.07,0.26
0.19,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.18,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.26
0.19,0.07,0.29
0.19,0.07,0.26
0.20,0.07,0.28
0.19,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.27
0.18,0.06,0.26
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.19,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.06,0.26
0.19,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.19,0.05,0.25
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.25
0.18,0.07,0.25
0.21,0.07,0.29
0.23,0.07,0.29
0.20,0.07,0.27
0.19,0.07,0.25
0.20,0.07,0.26
0.23,0.07,0.29
0.19,0.07,0.25
0.21,0.07,0.28
0.20,0.07,0.26
0.18,0.07,0.25
0.20,0.07,0.27
0.18,0.07,0.25
0.19,0.06,0.25
0.20,0.07,0.26
0.19,0.07,0.27
0.20,0.07,0.27
0.18,0.07,0.25
0.20,0.07,0.26
0.20,0.07,0.27
0.19,0.07,0.27
0.20,0.07,0.27
0.21,0.08,0.29
0.20,0.07,0.27
0.19,0.08,0.27
0.20,0.05,0.25
0.19,0.07,0.25
0.20,0.07,0.27
0.21,0.08,0.29
0.22,0.07,0.29
0.19,0.07,0.25
0.19,0.07,0.25
0.19,0.07,0.25
0.19,0.06,0.25
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.26
0.20,0.06,0.27
0.20,0.07,0.27
0.19,0.07,0.25
0.19,0.07,0.25
0.20,0.07,0.26
0.18,0.07,0.25
0.19,0.06,0.25
0.18,0.07,0.27
0.20,0.07,0.26
0.19,0.07,0.27
0.19,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.19,0.07,0.25
0.19,0.07,0.25
0.20,0.07,0.27
0.19,0.07,0.25
0.19,0.07,0.25
0.20,0.07,0.26
0.20,0.07,0.26
0.19,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.25
0.20,0.07,0.27
0.20,0.07,0.26
0.19,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.26
0.19,0.07,0.27
0.20,0.07,0.27
0.19,0.08,0.27
0.20,0.07,0.29
0.18,0.07,0.25
0.19,0.05,0.27
0.19,0.07,0.26
0.19,0.07,0.25
0.19,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.27
0.19,0.08,0.27
0.19,0.07,0.26
0.21,0.07,0.30
0.18,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.28
0.20,0.07,0.26
0.20,0.07,0.26
0.21,0.08,0.29
0.20,0.07,0.27
0.19,0.07,0.29
0.19,0.07,0.27
0.22,0.08,0.30
0.22,0.08,0.30
0.21,0.08,0.29
0.20,0.07,0.27
0.19,0.06,0.25
0.20,0.07,0.26
0.19,0.05,0.27
0.20,0.06,0.25
0.22,0.07,0.30
0.19,0.07,0.28
0.21,0.08,0.29
0.22,0.07,0.29
0.22,0.08,0.30
0.23,0.08,0.31
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.06,0.26
0.20,0.08,0.28
0.23,0.07,0.29
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.26
0.19,0.07,0.27
0.23,0.07,0.29
0.23,0.07,0.30
0.22,0.07,0.29
0.19,0.07,0.26
0.21,0.08,0.29
0.23,0.07,0.31
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.23,0.08,0.31
0.19,0.07,0.26
0.20,0.08,0.28
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.19,0.05,0.28
0.20,0.05,0.27
0.20,0.07,0.27
0.23,0.08,0.31
0.20,0.07,0.26
0.21,0.07,0.29
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.26
0.19,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.21,0.07,0.29
0.20,0.07,0.27
0.19,0.07,0.27
0.22,0.08,0.30
0.20,0.07,0.27
0.23,0.07,0.31
0.20,0.07,0.26
0.20,0.07,0.27
0.18,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.18,0.08,0.26
0.21,0.08,0.31
0.22,0.08,0.30
0.21,0.08,0.31
0.23,0.07,0.29
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.27
0.23,0.08,0.31
0.21,0.08,0.29
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.26
0.21,0.08,0.29
0.20,0.07,0.27
0.23,0.07,0.29
0.20,0.07,0.26
0.21,0.08,0.31
0.23,0.07,0.29
0.19,0.08,0.27
0.20,0.07,0.26
0.21,0.08,0.30
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.21,0.08,0.29
0.21,0.08,0.29
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.28
0.20,0.07,0.26
0.19,0.07,0.26
0.21,0.08,0.30
0.21,0.08,0.29
0.21,0.08,0.29
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.08,0.28
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.26
0.23,0.07,0.30
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.05,0.25
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.19,0.07,0.26
0.18,0.08,0.26
0.19,0.07,0.29
0.21,0.08,0.29
0.19,0.07,0.28
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.27
0.19,0.07,0.25
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.28
0.20,0.07,0.28
0.20,0.07,0.27
0.19,0.08,0.27
0.20,0.07,0.27
0.22,0.07,0.29
0.21,0.08,0.29
0.19,0.07,0.26
0.20,0.07,0.27
0.19,0.08,0.29
0.19,0.07,0.25
0.18,0.07,0.26
0.19,0.06,0.27
0.18,0.08,0.26
0.19,0.07,0.26
0.22,0.08,0.30
0.20,0.07,0.28
0.19,0.07,0.26
0.19,0.07,0.27
0.20,0.07,0.26
0.18,0.08,0.26
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.05,0.27
0.20,0.07,0.27
0.20,0.05,0.25
0.19,0.07,0.25
0.19,0.07,0.25
0.19,0.07,0.27
0.20,0.07,0.26
0.19,0.07,0.25
0.20,0.07,0.26
0.19,0.07,0.27
0.19,0.07,0.26
0.19,0.07,0.26
0.20,0.07,0.26
0.17,0.07,0.24
0.17,0.07,0.24
0.17,0.07,0.24
0.17,0.07,0.24
0.19,0.08,0.28
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.21,0.08,0.31
0.19,0.07,0.26
0.22,0.07,0.29
0.20,0.07,0.27
0.20,0.07,0.27
0.19,0.07,0.27
0.19,0.05,0.27
0.20,0.07,0.26
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.05,0.25
0.20,0.07,0.26
0.20,0.07,0.26
0.19,0.07,0.26
0.21,0.07,0.29
0.21,0.08,0.30
0.21,0.08,0.29
0.19,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.27
0.19,0.07,0.27
0.19,0.07,0.26
0.19,0.07,0.26
0.19,0.07,0.27
0.19,0.08,0.27
0.21,0.08,0.29
0.21,0.08,0.29
0.20,0.07,0.27
0.19,0.07,0.27
0.20,0.07,0.26
0.22,0.07,0.29
0.20,0.07,0.26
0.19,0.07,0.25
0.19,0.07,0.26
0.20,0.07,0.27
0.21,0.08,0.29
0.20,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.21,0.07,0.29
0.20,0.07,0.27
0.20,0.07,0.27
0.22,0.08,0.30
0.18,0.07,0.26
0.20,0.07,0.26
0.19,0.07,0.27
0.20,0.07,0.27
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.27
0.22,0.08,0.30
0.21,0.08,0.29
0.23,0.07,0.29
0.21,0.08,0.29
0.20,0.07,0.28
0.21,0.08,0.29
0.19,0.08,0.29
0.20,0.07,0.27
0.23,0.08,0.31
0.20,0.07,0.26
0.20,0.07,0.26
0.20,0.07,0.28
0.19,0.07,0.27
0.20,0.07,0.28
0.23,0.07,0.30
0.20,0.07,0.28
0.20,0.06,0.26
0.19,0.07,0.27
0.20,0.07,0.26
0.21,0.07,0.28
0.20,0.07,0.28
0.19,0.07,0.27
0.21,0.08,0.29
0.19,0.07,0.25
0.20,0.07,0.27
0.19,0.07,0.26
0.18,0.07,0.27
